episode,total_reward,avg_reward_10,best_reward
692,2.1,-0.95,0.25
693,-2.1,-1.08,0.25
694,1.2,-1.09,0.25
695,1.2,-1.18,0.25
696,-3.7,-1.45,0.25
697,-2.9,-1.08,0.25
698,-1.4,-1.02,0.25
699,-1.2,-1.02,0.25
700,-1.5,-1.03,0.25
701,-1.5,-0.98,0.25
702,0.9,-1.1,0.25
703,-1.5,-1.04,0.25
704,0.8,-1.08,0.25
705,-5,-1.7,0.25
706,1.4,-1.19,0.25
707,0.6,-0.84,0.25
708,1.2,-0.58,0.25
709,-1.2,-0.58,0.25
710,-3.8,-0.81,0.25
711,-1.3,-0.79,0.25
712,0.1,-0.87,0.25
713,-1.3,-0.85,0.25
714,-1.4,-1.07,0.25
715,-1.3,-0.7,0.25
716,-2.2,-1.06,0.25
717,-1.2,-1.24,0.25
718,-2.3,-1.59,0.25
719,0.8,-1.39,0.25
720,-1.3,-1.14,0.25
721,-1.4,-1.15,0.25
722,-1.3,-1.29,0.25
723,-1.4,-1.3,0.25
724,-1.5,-1.31,0.25
725,-1,-1.28,0.25
726,0.2,-1.04,0.25
727,-1.3,-1.05,0.25
728,-1.3,-0.95,0.25
729,-1.4,-1.17,0.25
730,-1.4,-1.18,0.25
731,-0.8,-1.12,0.25
732,-0.1,-1,0.25
733,-1.4,-1,0.25
734,-1.3,-0.98,0.25
735,-1.4,-1.02,0.25
736,-1.2,-1.16,0.25
737,-1.3,-1.16,0.25
738,-1.2,-1.15,0.25
739,-8.4,-1.85,0.25
740,1.6,-1.55,0.25
741,-0.7,-1.54,0.25
742,-1.7,-1.7,0.25
743,-1.2,-1.68,0.25
744,-1.7,-1.72,0.25
745,-2,-1.78,0.25
746,0.9,-1.57,0.25
747,-1.8,-1.62,0.25
748,-1.3,-1.63,0.25
749,2.22E-16,-0.79,0.25
750,-1.5,-1.1,0.25
751,-2.8,-1.31,0.25
752,-1.1,-1.25,0.25
753,2,-0.93,0.25
754,2.8,-0.48,0.25
755,1.3,-0.15,0.25
756,1.6,-0.08,0.25
757,-0.2,0.08,0.25
758,-2.3,-0.02,0.25
759,-3.2,-0.34,0.25
760,-2.3,-0.42,0.25
761,-4.7,-0.61,0.25
762,-1.4,-0.64,0.25
763,1.1,-0.73,0.25
764,-1.3,-1.14,0.25
765,1.1,-1.16,0.25
766,-2.1,-1.53,0.25
767,-1.4,-1.65,0.25
768,1.4,-1.28,0.25
769,-0.6,-1.02,0.25
770,-1.3,-0.92,0.25
771,-1.4,-0.59,0.25
772,-1.3,-0.58,0.25
773,-1.3,-0.82,0.25
774,0.4,-0.65,0.25
775,-2.1,-0.97,0.25
776,1,-0.66,0.25
777,1.1,-0.41,0.25
778,-2.3,-0.78,0.25
779,-1.4,-0.86,0.25
780,-2.2,-0.95,0.25
781,-1.6,-0.97,0.25
782,0.9,-0.75,0.25
783,1.1,-0.51,0.25
784,-3.3,-0.88,0.25
785,1.9,-0.48,0.25
786,0.5,-0.53,0.25
787,-1.4,-0.78,0.25
788,1.6,-0.39,0.25
789,-7.2,-0.97,0.25
790,-3.4,-1.09,0.25
791,0,-0.93,0.25
792,1.3,-0.89,0.25
793,1.6,-0.84,0.25
794,-1.3,-0.64,0.25
795,0.5,-0.78,0.25
796,1.4,-0.69,0.25
797,-2.2,-0.77,0.25
798,0.6,-0.87,0.25
799,-0.9,-0.24,0.25
800,-1.4,-0.04,0.25
